Hour,originRegion,destRegion,FareFactor
6,12,3,1.607960586642323
6,12,4,1.2385235298962864
6,12,5,1.9362110864332294
6,12,6,1.616460509989692
6,12,7,1.7056441692843165
6,12,8,1.8433269381446211
6,12,9,1.59469053627441
6,12,10,2.100139909543372
6,12,11,1.7214017324411564
6,12,12,2.0943537021616834
6,12,13,2.014351684618506
6,12,14,2.67397386360632
6,12,15,1.7791120378965009
6,12,16,1.6977128825124281
6,12,17,1.7444973725613502
6,12,18,1.240342282213098
6,12,19,1.489013325353721
6,12,20,1.6578960852526552
6,12,21,1.3997445024316049
6,12,22,1.2229881712685953
6,12,23,1.0352468550020808
6,12,24,1.1983951756270863
6,12,25,1.6389088796043583
6,13,1,1.2656100663784395
6,13,2,1.9922680766692193
6,13,3,1.7443652118863575
6,13,4,1.8313720644292064
6,13,5,1.705449158879364
6,13,6,1.8355121489332458
6,13,7,2.1972516509280924
6,13,8,2.3607331387914354
6,13,9,2.086141946140538
6,13,10,2.10897556969281
6,13,11,2.028780592907715
6,13,12,2.3780934693991354
6,13,13,2.6404017064892744
6,13,14,2.9302851736247315
6,13,15,2.3019863928802007
6,13,16,2.114251392308871
6,13,17,2.0157226365652083
6,13,18,1.9176296026461412
6,13,19,1.6930009208317423
6,13,20,2.0346975229203625
6,13,21,1.6219479954024978
6,13,22,1.569025564397456
6,13,23,1.1576915834427306
6,13,24,1.486084302917402
6,13,25,1.9096184339712179
6,14,1,1.4704174272318038
6,14,2,1.4436573754401183
6,14,3,1.2309127722549622
6,14,4,1.2482412824107019
6,14,5,1.3775742546795273
6,14,6,1.2218584197417626
6,14,7,1.3773755596276898
6,14,8,1.8859154097780988
6,14,9,1.4911622247274066
6,14,10,1.763525111121504
6,14,11,1.649823403844698
6,14,12,1.8865874498710744
6,14,13,2.2459771344525605
6,14,14,2.156705515650611
6,14,15,2.427637501561491
6,14,16,1.7267796691202835
6,14,17,1.682204987189653
6,14,18,1.4980800237313032
6,14,19,2.152404235448606
6,14,20,1.7646853208239213
6,14,21,1.6362885772156244
6,14,22,1.1088219490851356
6,14,23,1.307176882815706
6,14,24,1.2328481959031148
6,14,25,1.461797789788055
6,15,1,0.9638736662389622
6,15,2,0.8883098218018972
6,15,3,1.0845460607328756
6,15,4,1.1130321932568223
6,15,5,1.1876264298912438
6,15,6,1.1067823638800967
6,15,7,1.188683858762475
6,15,8,1.4261973968960284
6,15,9,1.153549088071317
6,15,10,1.3180210825047278
6,15,11,1.3956494218090478
6,15,12,1.5696152149791158
6,15,13,1.5193608227254394
6,15,14,1.546052569934108
6,15,15,1.496190353873422
6,15,16,1.4718349187812296
6,15,17,1.3522329636439123
6,15,18,1.614337564045555
6,15,19,1.5229291129059215
6,15,20,1.4428431109796673
6,15,21,1.1722858317124454
6,15,22,1.1127466344085553
6,15,23,0.7712642217992711
6,15,24,1.0926458524776734
6,15,25,1.2689679436749903
6,16,1,0.9472957804124444
6,16,2,1.0639051654250515
6,16,3,1.1243875546411302
6,16,4,1.070761788502418
6,16,5,1.1437934013376543
6,16,6,1.0120499521900501
6,16,7,0.9180256751906631
6,16,8,1.2150420203921224
6,16,9,1.1682382376774514
6,16,10,1.3021102819659067
6,16,11,1.4651550383544734
6,16,12,1.3649526944016803
6,16,13,1.2661772595550427
6,16,14,1.241830835288217
6,16,15,1.3128945393161864
6,16,16,1.5381396436681274
6,16,17,0.9560018987762561
6,16,18,1.3558522873104095
6,16,19,1.3871683962371515
6,16,20,1.2811315430026466
6,16,21,0.9830160000486652
6,16,22,1.031343665316858
6,16,23,0.9544390944509864
6,16,24,1.2236537980451094
6,16,25,1.2932355896704315
6,17,1,1.1189593680217025
6,17,2,0.9692927367813977
6,17,3,1.0555446879562935
6,17,4,1.6251235555498305
6,17,5,1.3084857963896808
6,17,6,1.1611288465287382
6,17,7,1.1087208899061542
6,17,8,1.4084349935120608
6,17,9,1.0674580825908613
6,17,10,1.1865001436646412
6,17,11,1.1384953462063598
6,17,12,1.445839945127674
6,17,13,1.622204473993508
6,17,14,1.8457077083701459
6,17,15,1.6180278087454159
6,17,16,1.1023575524145968
6,17,17,1.6648598437248643
6,17,18,1.610810002656768
6,17,19,1.367438166657598
6,17,20,1.4909764368558962
6,17,21,1.7375284225549952
6,17,22,1.3705802807754102
6,17,23,1.2011817485336576
6,17,24,1.095007132653667
6,17,25,1.272386225361929
6,18,1,1.3006127180589047
6,18,2,0.7088499941737986
6,18,3,0.972104119698078
6,18,4,0.9614241454194825
6,18,5,1.2614021585136939
6,18,6,1.1493334636272128
6,18,7,1.1084871511950112
6,18,8,1.1421087727418808
6,18,9,0.983425076802587
6,18,10,1.2832327204502225
6,18,11,1.0615422023848637
6,18,12,1.246606693869719
6,18,13,1.2282481128191898
6,18,14,1.1051288213339139
6,18,15,1.5962284477677078
6,18,16,1.1324607083332001
6,18,17,1.263309070206043
6,18,18,1.378683282995715
6,18,19,1.4144751581308987
6,18,20,1.3570580122471076
6,18,21,1.4172191931106535
6,18,22,1.450831405234882
6,18,23,1.0145362647483855
6,18,24,1.3717870899895312
6,18,25,0.8781449494407418
6,19,1,0.8196736727174172
6,19,2,0.7839887425546838
6,19,3,0.823212815946122
6,19,4,0.8988816667730557
6,19,5,0.9486691223352149
6,19,6,0.8149938418697692
6,19,7,0.8836734686856406
6,19,8,1.0524260064133393
6,19,9,1.0211047771465573
6,19,10,0.9947625742115326
6,19,11,1.1028272751581785
6,19,12,1.0938045983496647
6,19,13,1.1296873380653696
6,19,14,1.2776049796950155
6,19,15,1.308093146035402
6,19,16,1.2288782695352507
6,19,17,1.1484948359168161
6,19,18,1.264229025754376
6,19,19,1.3844584489483305
6,19,20,1.3171212306664921
6,19,21,1.1818359229922022
6,19,22,1.1445682279607101
6,19,23,1.1231385984907925
6,19,24,1.3273558967803223
6,19,25,0.9499210551006358
6,20,1,0.9465618769805703
6,20,2,0.8271985166826256
6,20,3,0.8999051180332388
6,20,4,1.0244004521545964
6,20,5,0.8898755999223809
6,20,6,0.9336697055741446
6,20,7,0.9672274479255667
6,20,8,1.050822551610006
6,20,9,0.9902732154090919
6,20,10,1.0988511602478461
6,20,11,1.1971509812895118
6,20,12,1.0584065027394007
6,20,13,1.127841567060449
6,20,14,1.2845584556199916
6,20,15,1.1034877053176435
6,20,16,1.0995155176149873
6,20,17,1.0793550243228505
6,20,18,1.2896318166856993
6,20,19,1.1241282626005906
6,20,20,1.044429218066136
6,20,21,1.1348190920745251
6,20,22,0.9883094919597755
6,20,23,1.1404051521841128
6,20,24,1.3219694842035594
6,20,25,1.0198621467388997
6,21,1,1.055583675749714
6,21,2,0.8679369558709795
6,21,3,1.1205190756467922
6,21,4,0.8468795217155193
6,21,5,1.1211603247871191
6,21,6,1.1151267399862237
6,21,7,0.9491434199381525
6,21,8,1.1611868474511724
6,21,9,1.2582851172948049
6,21,10,1.1229369035689247
6,21,11,1.1465289609950504
6,21,12,1.3148569497862213
6,21,13,1.3583212225499721
6,21,14,1.5145045466019995
6,21,15,1.4336297726499025
6,21,16,1.2665692074264001
6,21,17,1.5476377921211066
6,21,18,1.637559403999234
6,21,19,1.4330008191032282
6,21,20,1.632051615806719
6,21,21,1.633183764073222
6,21,22,1.6086189407442815
6,21,23,1.3873645193943536
6,21,24,1.3486845972624515
6,21,25,1.2688639212710295
6,22,1,1.193687441045852
6,22,2,1.0128393283735044
6,22,3,0.7791553463838384
6,22,4,1.5037772245513819
6,22,5,1.2995315346320215
6,22,6,0.9765794598753749
6,22,7,1.0770555636539636
6,22,8,1.1351103180343238
6,22,9,0.919746524495642
6,22,10,1.276077884266849
6,22,11,1.0531301905606687
6,22,12,1.0691939056802746
6,22,13,1.1438389529786763
6,22,14,1.3307701873577895
6,22,15,1.1748562868612822
6,22,16,1.0012538051735216
6,22,17,1.5449627363986647
6,22,18,1.3457675435804612
6,22,19,1.0154466994999858
6,22,20,1.4184549570315428
6,22,21,1.631930867344507
6,22,22,1.5773912774761167
6,22,23,1.4995392874208493
6,22,24,1.416369786637373
6,22,25,1.0727479594423246
6,23,1,0.8716417366911946
6,23,2,0.8428954950333114
6,23,3,1.2714037109367649
6,23,4,0.8232958921512773
6,23,5,0.7992213363556119
6,23,6,0.8185319545674378
6,23,7,0.7218399656132528
6,23,8,1.0423756577587657
6,23,9,0.9006901137110102
6,23,10,0.7908956499098933
6,23,11,0.8947686680776578
6,23,12,0.9975067690968903
6,23,13,0.9790654153365055
6,23,14,1.11000857434363
6,23,15,1.0034296787024126
6,23,16,0.7586952022664697
6,23,17,1.1007896326958053
6,23,18,1.0117335415428321
6,23,19,1.0180381394602316
6,23,20,1.1904218593359908
6,23,21,1.021894745748299
6,23,22,1.1068345619541022
6,23,23,1.4031121625807614
6,23,24,1.2594178300671959
6,23,25,0.8976599556480991
6,24,1,1.1630591444954366
6,24,2,0.8753925649683294
6,24,3,0.8316056312558792
6,24,4,0.9036776173969733
6,24,5,0.9382628155894528
6,24,6,0.8836775975618351
6,24,7,1.0939914193000453
6,24,8,0.9570336355416822
6,24,9,0.8749252955977079
6,24,10,0.981168213738451
6,24,11,0.9676614087328113
6,24,12,1.0780264215062785
6,24,13,1.002706840622483
6,24,14,0.9063188433842682
6,24,15,1.247114460891125
6,24,16,1.0858970605342058
6,24,17,1.1581207080970348
6,24,18,1.3444303224776364
6,24,19,1.3372643684342604
6,24,20,1.3879412796584163
6,24,21,1.3203654960326179
6,24,22,1.378461580266091
6,24,23,1.3548933080111196
6,24,24,1.362985905498231
6,24,25,1.4069853114856476
6,25,1,0.9518651898041487
6,25,2,0.8512276090823234
6,25,3,1.0637410872181527
6,25,4,1.0493177767783055
6,25,5,0.9186910728704779
