Hour,originRegion,destRegion,Speed
6,1,1,7.495151857889673
6,1,2,7.702452526861518
6,1,3,8.29500418665273
6,1,4,8.747452242619211
6,1,5,8.47148092748057
6,1,6,9.175118839133196
6,1,7,10.24034234981524
6,1,8,12.768591474749895
6,1,9,7.9153959207292
6,1,10,8.646363630157953
6,1,11,9.00280429561924
6,1,12,11.971052809070196
6,1,13,13.017502716614784
6,1,14,14.069657295317812
6,1,15,13.660963371559491
6,1,16,12.87182670742734
6,1,17,14.883725752969896
6,1,18,16.19362955294118
6,1,19,14.665003475455176
6,1,20,13.565418470418098
6,1,21,15.638401608042349
6,1,22,12.769789480734987
6,1,23,19.610413289889483
6,1,24,18.225693880126183
6,1,25,11.46084341887887
6,2,1,7.460902658044125
6,2,2,7.803121156799348
6,2,3,7.736605142892415
6,2,4,8.029203975522366
6,2,5,8.401544881290826
6,2,6,8.276982124610601
6,2,7,10.946448187023826
6,2,8,13.79456026200854
6,2,9,8.021952183838927
6,2,10,9.655208755744178
6,2,11,12.35610085308057
6,2,12,12.960264445080867
6,2,13,14.589580453187567
6,2,14,14.725304989413216
6,2,15,14.498168762403575
6,2,16,16.37993068251804
6,2,17,15.920006927460298
6,2,18,17.391157841054756
6,2,19,15.126079196809359
6,2,20,15.622240757806978
6,2,21,16.252755995702437
6,2,22,17.461613097247707
6,2,23,20.27181985385764
6,2,24,16.17933718948401
6,2,25,10.974136016457829
6,3,1,7.847056263817145
6,3,2,7.930577972452463
6,3,3,8.241158730214044
6,3,4,7.646354504573076
6,3,5,8.865334763187532
6,3,6,7.820283317621333
6,3,7,9.109881332541677
6,3,8,11.659950882635842
6,3,9,7.926716636998981
6,3,10,10.929415383033968
6,3,11,8.702578751335311
6,3,12,11.305100803517204
6,3,13,12.001729750825222
6,3,14,15.541865020641904
6,3,15,11.343257086895562
6,3,16,13.438138386766425
6,3,17,12.907136043124043
6,3,18,14.032238179476169
6,3,19,12.952573930038023
6,3,20,13.411235495348578
6,3,21,14.182692424200049
6,3,22,16.687152764967696
6,3,23,18.348147946715667
6,3,24,16.77062890740925
6,3,25,13.234495050546276
6,4,1,7.803163681463679
6,4,2,7.046992489823959
6,4,3,7.155821067291522
6,4,4,7.396503834700567
6,4,5,7.028193160408385
6,4,6,7.010305205680532
6,4,7,7.4310611393540835
6,4,8,9.660903511928682
6,4,9,7.242801230172467
6,4,10,7.7753000997654755
6,4,11,7.538046072711406
6,4,12,9.9943113051719
6,4,13,10.355233932370947
6,4,14,10.434453691994179
6,4,15,10.126738810434784
6,4,16,8.5918228008183
6,4,17,11.87876503591215
6,4,18,12.256450167840152
6,4,19,11.450305040334976
6,4,20,11.167735375647371
6,4,21,14.203127417637628
6,4,22,14.060397926150516
6,4,23,13.504074575990048
6,4,24,14.770600729991942
6,4,25,11.979601178240301
6,5,1,8.25144206148576
6,5,2,7.717804467972543
6,5,3,9.545579370723619
6,5,4,7.655271321033209
6,5,5,6.821579977642528
6,5,6,6.956522161021053
6,5,7,7.752609596315883
6,5,8,10.367201030257652
6,5,9,7.751021252740742
6,5,10,8.608559224142619
6,5,11,8.190745613100814
6,5,12,10.593514574797664
6,5,13,10.72826958035415
6,5,14,12.003829714090783
6,5,15,11.739757200405817
6,5,16,12.588166724267538
6,5,17,12.464043148298487
6,5,18,17.688234523440777
6,5,19,12.102979849196958
6,5,20,13.258082368072735
6,5,21,16.587050358136107
6,5,22,14.341231745524789
6,5,23,19.947180251428573
6,5,24,23.93194357791411
6,5,25,13.741195415567766
6,6,1,8.650921588487101
6,6,2,8.9025778744571
6,6,3,9.360416333942863
6,6,4,7.707932198280376
6,6,5,7.201043307584482
6,6,6,6.533512240239171
6,6,7,7.3970822351636025
6,6,8,10.629789744885771
6,6,9,6.867886382412498
6,6,10,7.692262831100134
6,6,11,9.59698799533822
6,6,12,10.142123097344687
6,6,13,11.572828471255235
6,6,14,13.124492425142428
6,6,15,12.602353106289138
6,6,16,12.00680886983834
6,6,17,15.617338345828298
6,6,18,14.26442968868819
6,6,19,14.791259119375443
6,6,20,14.037618426043755
6,6,21,15.378274479085997
6,6,22,17.56528960403531
6,6,23,22.175045574193547
6,6,24,17.98223259130435
6,6,25,12.321737441808772
6,7,1,9.920363221208468
6,7,2,10.03649004043849
6,7,3,13.079226710032172
6,7,4,8.097680721590132
6,7,5,8.020067194309425
6,7,6,7.030792523415289
6,7,7,6.563630933333335
6,7,8,7.9513268198907365
6,7,9,6.720872714243445
6,7,10,7.271134489162981
6,7,11,8.81575379036288
6,7,12,8.089717364738233
6,7,13,8.531320163823597
6,7,14,11.324803401639349
6,7,15,11.786822542507524
6,7,16,12.09824718153388
6,7,17,14.146480505396323
6,7,18,17.174750418564678
6,7,19,12.415201135402844
6,7,20,13.407178652590472
6,7,21,14.737590827634593
6,7,22,14.409985995160143
6,7,23,16.845885692307693
6,7,24,20.32808259217877
6,7,25,14.21100975992399
6,8,1,12.437308824605116
6,8,2,12.606057404420849
6,8,3,13.396358372064917
6,8,4,11.347513751793082
6,8,5,10.764457244444445
6,8,6,9.197984259949422
6,8,7,7.320438437878364
6,8,8,6.104104448741771
6,8,9,9.755644840821144
6,8,10,7.36713937504908
6,8,11,11.900000294025231
6,8,12,6.627844214075161
6,8,13,5.8789992828761335
6,8,14,8.214757267415736
6,8,15,10.639704902970298
6,8,16,10.234018979435511
6,8,17,11.565848177207707
6,8,18,14.077908012848166
6,8,19,13.519552262949377
6,8,20,12.74289158990173
6,8,21,13.045200731107201
6,8,22,15.197428333942925
6,8,23,16.965292444859582
6,8,24,17.249899622710725
6,8,25,15.504578460039843
6,9,1,8.06073066898048
6,9,2,8.296395523330444
6,9,3,8.622430122628394
6,9,4,7.8916030859665875
6,9,5,6.596717285850398
6,9,6,6.802948628043299
6,9,7,6.867682811739299
6,9,8,8.863017427851972
6,9,9,6.928592045611051
6,9,10,7.489022718418993
6,9,11,8.954942605851604
6,9,12,9.05150232586726
6,9,13,9.079538863566112
6,9,14,11.75146391060518
6,9,15,10.744185626629683
6,9,16,7.668343749731217
6,9,17,10.549375544468694
6,9,18,12.279730662425111
6,9,19,10.610854322751964
6,9,20,12.701239850970445
6,9,21,13.633691532834735
6,9,22,15.343781726315791
6,9,23,14.124393827459235
6,9,24,19.56944927786599
6,9,25,14.496394102945251
6,10,1,8.636823692661137
6,10,2,8.718393226282183
6,10,3,12.39948668939976
6,10,4,9.697268577363642
6,10,5,9.75147730308891
6,10,6,7.347012077045192
6,10,7,7.146347481113163
6,10,8,6.840725872504957
6,10,9,8.010683062279366
6,10,10,7.345510177092059
6,10,11,8.882525353049953
6,10,12,7.460193233627592
6,10,13,7.850146585668
6,10,14,9.66154483287671
6,10,15,10.873099575513008
6,10,16,8.931196032452101
6,10,17,13.121594442704625
6,10,18,10.887964730935252
6,10,19,11.554974941192231
6,10,20,12.62930238770732
6,10,21,13.232903497106667
6,10,22,12.839181965432099
6,10,23,17.24373912970123
6,10,24,16.29910817603769
6,10,25,15.589131263548058
6,11,1,9.908387555864467
6,11,2,11.433937450986244
6,11,3,8.994350604955848
6,11,4,7.397184488627967
6,11,5,7.87440219927801
6,11,6,8.771881614797369
6,11,7,9.688465165658002
6,11,8,9.592370603854148
6,11,9,7.940621459634786
6,11,10,8.184705998748544
6,11,11,7.86346526363252
6,11,12,10.292132620764447
6,11,13,10.665013067475105
6,11,14,12.071521947388193
6,11,15,10.506803357851336
6,11,16,8.455430721593478
6,11,17,12.842244277245358
6,11,18,13.168629027198607
6,11,19,8.612757156851071
6,11,20,9.24948780868013
6,11,21,13.860224677329722
6,11,22,15.124013521785459
6,11,23,17.490483124797727
6,11,24,14.131970929484538
6,11,25,12.717747799424805
6,12,1,11.76247892904816
6,12,2,12.544814436798646
6,12,3,13.995735715334424
6,12,4,10.583637955221638
6,12,5,12.101247910790857
6,12,6,9.93961991659415
6,12,7,8.736411790528175
6,12,8,7.0586048974444315
6,12,9,10.721081319748537
6,12,10,7.799400830994982
6,12,11,11.929080694280298
6,12,12,7.225947583905347
6,12,13,7.131303856346908
6,12,14,8.294060579606304
6,12,15,9.763552630141756
6,12,16,8.826543750006225
6,12,17,11.969018446750818
6,12,18,11.130488595364945
6,12,19,11.778508588910757
6,12,20,12.298151536217938
6,12,21,13.914796531324006
6,12,22,15.762726896022611
6,12,23,18.76299148389035
6,12,24,18.02758439396985
6,12,25,16.441517200935337
6,13,1,12.540104794912697
6,13,2,14.834756574426232
6,13,3,13.421841984644056
6,13,4,12.781055446779664
6,13,5,12.676760175171784
6,13,6,11.480187442827443
6,13,7,8.984116681475461
6,13,8,5.780838477979275
6,13,9,11.118483553498525
6,13,10,8.582737753112147
6,13,11,12.343078007319049
6,13,12,7.264313130846578
6,13,13,5.524292406413709
6,13,14,7.6184819428414015
6,13,15,9.706086475487828
6,13,16,10.561676383079707
6,13,17,11.640996040872967
6,13,18,12.734906115777525
6,13,19,12.432477768753062
6,13,20,13.041638639592152
6,13,21,13.17251440685469
6,13,22,16.917373526616544
6,13,23,16.871739978499736
6,13,24,17.75293497313433
6,13,25,15.749233853751782
6,14,1,12.773307955720021
6,14,2,13.148160242774567
6,14,3,12.95408622599126
6,14,4,11.474703111832659
6,14,5,12.570335248867536
6,14,6,10.958964730434783
6,14,7,9.512644491045686
6,14,8,6.291891168035068
6,14,9,11.130741589086398
6,14,10,9.768533656640313
6,14,11,11.86236140671295
6,14,12,7.443443005963821
6,14,13,5.864052377966972
6,14,14,5.829552181894737
6,14,15,8.585148291361161
6,14,16,11.585630618369098
6,14,17,10.400365819469027
6,14,18,14.356399870289533
6,14,19,12.66261560232698
6,14,20,12.31649592364425
6,14,21,12.792407041199235
6,14,22,15.16320568888889
6,14,23,20.16548672
6,14,24,17.964264657410883
6,14,25,14.686824716380102
6,15,1,14.05312575576159
6,15,2,13.92960166164154
6,15,3,12.754102558517603
6,15,4,12.593201810885247
6,15,5,12.36165969642723
6,15,6,10.43206270939352
6,15,7,10.597688610309277
6,15,8,8.465225536108276
6,15,9,10.033847884420762
6,15,10,8.343433723312513
6,15,11,11.106663315237942
6,15,12,7.394942295966166
6,15,13,8.538973604020104
6,15,14,8.369532610951742
6,15,15,7.553130415746588
6,15,16,9.4441766022021
6,15,17,10.092758270751943
6,15,18,9.825665108000846
6,15,19,9.232384597884838
